Country/Region,Year-Month,Confirmed,Deaths,Recovered
Armenia,2021-01-01,5076072,92132,4695829
Armenia,2021-02-01,4741148,87995,4507424
Armenia,2021-03-01,5603135,102663,5186198
Armenia,2021-04-01,6176164,114772,5573536
Armenia,2021-05-01,6831987,133516,6432713
Armenia,2021-06-01,6716751,134539,6461740
Armenia,2021-07-01,7046137,141368,6764038
Armenia,2021-08-01,7298355,146024,880846
Armenia,2021-09-01,7541311,152283,0
Armenia,2021-10-01,6633438,135474,0
Australia,2020-01-01,38,0,4
Australia,2020-02-01,431,0,195
Australia,2020-03-01,35679,190,2307
Australia,2020-04-01,188206,1817,91483
Australia,2020-05-01,217625,3071,195488
Australia,2020-06-01,222611,3075,205100
Australia,2020-07-01,361720,3996,256329
Australia,2020-08-01,711091,13006,381635
Australia,2020-09-01,800899,24475,614861
Australia,2020-10-01,848364,27949,679910
Australia,2020-11-01,832514,27212,669764
Australia,2020-12-01,872046,28153,697478
Australia,2021-01-01,889012,28179,703156
Australia,2021-02-01,809190,25452,640112
Australia,2021-03-01,903649,28179,711784
Australia,2021-04-01,885710,27289,694114
Australia,2021-05-01,929238,28210,727969
Australia,2021-06-01,909575,27300,710896
Australia,2021-07-01,992468,28351,741869
Australia,2021-08-01,1300889,29910,96640
Australia,2021-09-01,2437687,34262,0
Australia,2021-10-01,3240370,35607,0
Austria,2020-01-01,0,0,0
Austria,2020-02-01,19,0,0
Austria,2020-03-01,84802,626,2883
Austria,2020-04-01,417242,11663,241616
Austria,2020-05-01,500479,19474,447388
Austria,2020-06-01,515592,20495,481557
Austria,2020-07-01,600464,21997,539229
Austria,2020-08-01,735971,22523,645006
Austria,2020-09-01,1058863,22824,851070
Austria,2020-10-01,2039236,28062,1521700
Austria,2020-11-01,6048662,59076,4042516
Austria,2020-12-01,10147084,149705,8916607
Austria,2021-01-01,12102376,217497,11328881
Austria,2021-02-01,12191179,229966,11533469
Austria,2021-03-01,15518627,277208,14360090
Austria,2021-04-01,17593916,294285,16404817
Austria,2021-05-01,19700766,324107,18990884
Austria,2021-06-01,19456014,319981,19029231
Austria,2021-07-01,20262301,332483,19831920
Austria,2021-08-01,20808835,333501,2575507
Austria,2021-09-01,21491965,326302,0
Austria,2021-10-01,18426188,267064,0
Azerbaijan,2020-01-01,0,0,0
Azerbaijan,2020-02-01,0,0,0
Azerbaijan,2020-03-01,1928,37,211
Azerbaijan,2020-04-01,35353,429,16061
Azerbaijan,2020-05-01,101560,1227,65682
Azerbaijan,2020-06-01,326549,3939,180444
Azerbaijan,2020-07-01,794844,10407,540422
Azerbaijan,2020-08-01,1065366,15562,971973
Azerbaijan,2020-09-01,1156339,16972,1081353
Azerbaijan,2020-10-01,1403733,19697,1242714
Azerbaijan,2020-11-01,2434291,30250,1707790
Azerbaijan,2020-12-01,5629069,63398,3893078
Azerbaijan,2021-01-01,7006474,91932,6568386
Azerbaijan,2021-02-01,6502320,89032,6342572
Azerbaijan,2021-03-01,7560926,103279,7194066
Azerbaijan,2021-04-01,8816077,121720,7822456
Azerbaijan,2021-05-01,10199768,147629,9679167
Azerbaijan,2021-06-01,10056668,148624,9855040
Azerbaijan,2021-07-01,10497023,154791,10269710
Azerbaijan,2021-08-01,11654596,162064,1333581
Azerbaijan,2021-09-01,13861812,184648,0
Azerbaijan,2021-10-01,11927066,160886,0
Bahamas,2020-01-01,0,0,0
Bahamas,2020-02-01,0,0,0
Bahamas,2020-03-01,99,0,8
Bahamas,2020-04-01,1578,235,281
Bahamas,2020-05-01,2933,341,1201
Bahamas,2020-06-01,3100,330,2124
Bahamas,2020-07-01,6403,347,2797
Bahamas,2020-08-01,41780,792,9579
Bahamas,2020-09-01,93104,2105,44339
Bahamas,2020-10-01,170339,3612,100515
Bahamas,2020-11-01,215718,4721,158704
Bahamas,2020-12-01,238552,5125,188608
Bahamas,2021-01-01,249177,5419,201910
Bahamas,2021-02-01,233940,4977,196424
Bahamas,2021-03-01,271796,5736,237050
Bahamas,2021-04-01,289640,5771,270035
Bahamas,2021-05-01,345301,6761,311703
Bahamas,2021-06-01,366120,7151,335406
Bahamas,2021-07-01,417813,8208,372939
Bahamas,2021-08-01,511668,9890,50533
Bahamas,2021-09-01,592159,14282,0
Bahamas,2021-10-01,519551,14215,0
Bahrain,2020-01-01,0,0,0
Bahrain,2020-02-01,167,0,0
Bahrain,2020-03-01,7765,41,3031
Bahrain,2020-04-01,48676,190,22965
Bahrain,2020-05-01,210502,349,100507
Bahrain,2020-06-01,575360,1441,413158
Bahrain,2020-07-01,1074705,3672,943774
Bahrain,2020-08-01,1447593,5311,1345895
Bahrain,2020-09-01,1856231,6496,1678279
Bahrain,2020-10-01,2388821,8985,2262718
Bahrain,2020-11-01,2539313,10017,2472695
Bahrain,2020-12-01,2780573,10767,2718364
Bahrain,2021-01-01,3022735,11185,2919786
Bahrain,2021-02-01,3165005,11365,2969118
Bahrain,2021-03-01,4119520,15134,3889112
Bahrain,2021-04-01,4837969,17448,4504301
Bahrain,2021-05-01,6338506,23798,5754577
Bahrain,2021-06-01,7750838,36929,7329094
Bahrain,2021-07-01,8297428,42642,8216450
Bahrain,2021-08-01,8399912,42945,1068263
Bahrain,2021-09-01,8218534,41648,0
Bahrain,2021-10-01,6619984,33376,0
Bangladesh,2020-01-01,0,0,0
Bangladesh,2020-02-01,0,0,0
Bangladesh,2020-03-01,546,49,131
Bangladesh,2020-04-01,70283,2153,2059
Bangladesh,2020-05-01,731311,10746,139045
Bangladesh,2020-06-01,2836656,37194,943347
Bangladesh,2020-07-01,6049862,77720,3155922
Bangladesh,2020-08-01,8565945,114101,5101749
Bangladesh,2020-09-01,10232791,143910,7345683
Bangladesh,2020-10-01,11965030,174118,9323916
Bangladesh,2020-11-01,13055589,187421,10548940
Bangladesh,2020-12-01,15301465,221327,13170237
Bangladesh,2021-01-01,16311378,244126,14593894
Bangladesh,2021-02-01,15145689,231880,13663390
Bangladesh,2021-03-01,17583288,267616,16007124
Bangladesh,2021-04-01,21032790,305973,18179618
Bangladesh,2021-05-01,24211558,376107,22286214
Bangladesh,2021-06-01,25289802,401202,23228388
Bangladesh,2021-07-01,33434499,542385,28698436
Bangladesh,2021-08-01,43755097,745570,4468216
Bangladesh,2021-09-01,46037544,810568,0
Bangladesh,2021-10-01,37515400,664904,0
Barbados,2020-01-01,0,0,0
Barbados,2020-02-01,0,0,0
Barbados,2020-03-01,255,0,0
Barbados,2020-04-01,2071,122,531
Barbados,2020-05-01,2697,217,1939
Barbados,2020-06-01,2860,210,2515
Barbados,2020-07-01,3209,217,2840
Barbados,2020-08-01,4654,217,3719
Barbados,2020-09-01,5515,210,4962
Barbados,2020-10-01,6692,217,6093
Barbados,2020-11-01,7563,210,7080
Barbados,2020-12-01,9713,217,8622
Barbados,2021-01-01,32342,258,17216
Barbados,2021-02-01,63279,678,47620
Barbados,2021-03-01,106483,1196,96914
Barbados,2021-04-01,112693,1311,109263
Barbados,2021-05-01,122770,1426,120498
Barbados,2021-06-01,121317,1410,119003
Barbados,2021-07-01,131162,1480,126537
Barbados,2021-08-01,142637,1492,16982
Barbados,2021-09-01,191196,1715,0
Barbados,2021-10-01,281586,2466,0
Belarus,2020-01-01,0,0,0
Belarus,2020-02-01,2,0,0
Belarus,2020-03-01,1465,1,340
Belarus,2020-04-01,150554,1171,18498
Belarus,2020-05-01,888892,4986,302001
Belarus,2020-06-01,1626878,9483,955147
Belarus,2020-07-01,2029325,14953,1742259
Belarus,2020-08-01,2159686,19080,2068805
Belarus,2020-09-01,2246305,22796,2183138
Belarus,2020-10-01,2701983,28380,2464735
Belarus,2020-11-01,3481029,31736,2937343
Belarus,2020-12-01,5144839,40022,4462040
Belarus,2021-01-01,6908021,48780,6404248
Belarus,2021-02-01,7520716,51861,7213412
Belarus,2021-03-01,9451715,65544,9162503
Belarus,2021-04-01,10229519,71955,9941502
Belarus,2021-05-01,11683891,83744,11388590
Belarus,2021-06-01,12206318,90040,11982503
Belarus,2021-07-01,13396842,102454,13195347
Belarus,2021-08-01,14349120,112135,1769127
Belarus,2021-09-01,15302106,118858,0
Belarus,2021-10-01,13510150,103956,0
Belgium,2020-01-01,0,0,0
Belgium,2020-02-01,26,0,13
Belgium,2020-03-01,89009,3145,9055
Belgium,2020-04-01,993613,132664,216946
Belgium,2020-05-01,1688377,273995,439785
Belgium,2020-06-01,1801706,289543,496435
Belgium,2020-07-01,1979139,303682,535284
Belgium,2020-08-01,2409779,307232,558058
Belgium,2020-09-01,2955815,298143,565779
Belgium,2020-10-01,7060830,325069,663604
Belgium,2020-11-01,15807456,432647,312851
Belgium,2020-12-01,19046283,565082,0
Belgium,2021-01-01,20983559,631655,0
Belgium,2021-02-01,20733707,606413,0
Belgium,2021-03-01,25421637,698886,0
Belgium,2021-04-01,28207302,709354,0
Belgium,2021-05-01,31954849,764910,0
Belgium,2021-06-01,32292651,752857,0
Belgium,2021-07-01,34201841,781478,0
Belgium,2021-08-01,35802514,784440,0
Belgium,2021-09-01,36463705,764611,0
Belgium,2021-10-01,30593398,617320,0
Belize,2020-01-01,0,0,0
Belize,2020-02-01,0,0,0
Belize,2020-03-01,18,0,0
Belize,2020-04-01,411,46,61
Belize,2020-05-01,558,62,485
Belize,2020-06-01,633,60,497
Belize,2020-07-01,1208,62,686
Belize,2020-08-01,13861,163,1491
Belize,2020-09-01,45432,578,20524
Belize,2020-10-01,84329,1286,51855
Belize,2020-11-01,142741,2883,79173
Belize,2020-12-01,285706,6300,184061
Belize,2021-01-01,355291,8649,331380
Belize,2021-02-01,340198,8716,325864
Belize,2021-03-01,383735,9795,371805
Belize,2021-04-01,376175,9569,364214
Belize,2021-05-01,394656,10017,382065
Belize,2021-06-01,389860,9805,375531
Belize,2021-07-01,424629,10288,403639
Belize,2021-08-01,468078,10756,53897
Belize,2021-09-01,548929,11541,0
Belize,2021-10-01,555552,10664,0
Benin,2020-01-01,0,0,0
Benin,2020-02-01,0,0,0
Benin,2020-03-01,68,0,1
Benin,2020-04-01,1178,25,486
Benin,2020-05-01,6566,73,2441
Benin,2020-06-01,17757,264,6793
Benin,2020-07-01,46022,876,20334
Benin,2020-08-01,62855,1195,49576
Benin,2020-09-01,68013,1201,56453
Benin,2020-10-01,76944,1271,67677
Benin,2020-11-01,85621,1284,76714
Benin,2020-12-01,97112,1363,92574
Benin,2021-01-01,107836,1432,100552
Benin,2021-02-01,133911,1711,109001
Benin,2021-03-01,203298,2576,172521
Benin,2021-04-01,227170,2852,207064
Benin,2021-05-01,247227,3119,240442
Benin,2021-06-01,243854,3084,238871
Benin,2021-07-01,256255,3289,249942
Benin,2021-08-01,316592,3629,32544
Benin,2021-09-01,611240,4331,0
Benin,2021-10-01,584515,3840,0
Bhutan,2020-01-01,0,0,0
Bhutan,2020-02-01,0,0,0
Bhutan,2020-03-01,46,0,0
Bhutan,2020-04-01,167,0,73
Bhutan,2020-05-01,561,0,166
Bhutan,2020-06-01,1897,0,718
Bhutan,2020-07-01,2700,0,2230
Bhutan,2020-08-01,4396,0,3294
Bhutan,2020-09-01,7485,0,5276
Bhutan,2020-10-01,9919,0,8889
Bhutan,2020-11-01,11234,0,10552
Bhutan,2020-12-01,15035,0,12845
Bhutan,2021-01-01,25294,24,18158
Bhutan,2021-02-01,24183,28,23930
Bhutan,2021-03-01,26933,31,26858
Bhutan,2021-04-01,28670,30,26831
Bhutan,2021-05-01,40790,31,35159
Bhutan,2021-06-01,55636,30,46184
Bhutan,2021-07-01,73044,48,64151
Bhutan,2021-08-01,79586,82,9601
Bhutan,2021-09-01,77918,90,0
Bhutan,2021-10-01,62723,72,0
Bolivia,2020-01-01,0,0,0
Bolivia,2020-02-01,0,0,0
Bolivia,2020-03-01,682,11,0
Bolivia,2020-04-01,14801,887,938
Bolivia,2020-05-01,137671,5482,14032
Bolivia,2020-06-01,614758,20104,127986
Bolivia,2020-07-01,1700323,62947,520061
Bolivia,2020-08-01,3085662,126236,1192668
Bolivia,2020-09-01,3821303,212820,2497080
Bolivia,2020-10-01,4317118,260850,3218525
Bolivia,2020-11-01,4298716,265610,3513282
Bolivia,2020-12-01,4637462,280226,3944610
Bolivia,2021-01-01,5778389,299667,4462898
Bolivia,2021-02-01,6603704,312089,4980609
Bolivia,2021-03-01,8093271,371377,6422914
Bolivia,2021-04-01,8619557,377844,7086956
Bolivia,2021-05-01,10363122,421894,8421408
Bolivia,2021-06-01,12302095,472289,9853892
Bolivia,2021-07-01,14228324,538266,11997391
Bolivia,2021-08-01,14967434,563167,1641008
Bolivia,2021-09-01,14877769,558339,0
Bolivia,2021-10-01,12119807,451609,0
Bosnia and Herzegovina,2020-01-01,0,0,0
Bosnia and Herzegovina,2020-02-01,0,0,0
Bosnia and Herzegovina,2020-03-01,2826,50,72
Bosnia and Herzegovina,2020-04-01,33408,1272,9154
Bosnia and Herzegovina,2020-05-01,68816,3748,41574
Bosnia and Herzegovina,2020-06-01,95167,5006,64619
Bosnia and Herzegovina,2020-07-01,241630,7577,113943
Bosnia and Herzegovina,2020-08-01,494986,14810,300304
Bosnia and Herzegovina,2020-09-01,721110,21892,507111
Bosnia and Herzegovina,2020-10-01,1082304,30973,761040
Bosnia and Herzegovina,2020-11-01,2143108,58331,1154725
Bosnia and Herzegovina,2020-12-01,3166283,107176,2084772
Bosnia and Herzegovina,2021-01-01,3632102,137003,2663152
Bosnia and Herzegovina,2021-02-01,3535303,137362,2959282
Bosnia and Herzegovina,2021-03-01,4584265,176346,3799537
Bosnia and Herzegovina,2021-04-01,5603125,230006,4346642
Bosnia and Herzegovina,2021-05-01,6260450,278061,5222002
Bosnia and Herzegovina,2021-06-01,6139936,285974,5364595
Bosnia and Herzegovina,2021-07-01,6363599,299783,5782431
Bosnia and Herzegovina,2021-08-01,6461871,301399,758453
Bosnia and Herzegovina,2021-09-01,6727653,304882,0
Bosnia and Herzegovina,2021-10-01,5808603,263987,0
Botswana,2020-01-01,0,0,0
Botswana,2020-02-01,0,0,0
Botswana,2020-03-01,7,1,0
Botswana,2020-04-01,437,30,10
Botswana,2020-05-01,843,31,470
Botswana,2020-06-01,2211,30,727
Botswana,2020-07-01,14959,36,1336
Botswana,2020-08-01,37084,87,3881
Botswana,2020-09-01,73122,345,17648
Botswana,2020-10-01,144559,610,48528
Botswana,2020-11-01,261748,858,191121
Botswana,2020-12-01,398982,1162,320549
Botswana,2021-01-01,556279,2506,446255
Botswana,2021-02-01,715384,6275,596608
Botswana,2021-03-01,1087347,13723,938911
Botswana,2021-04-01,1315455,19744,1190303
Botswana,2021-05-01,1563753,23877,1475224
Botswana,2021-06-01,1860810,28901,1717913
Botswana,2021-07-01,2687022,40505,2365090
Botswana,2021-08-01,4276527,61072,386215
Botswana,2021-09-01,5061795,69946,0
Botswana,2021-10-01,4362032,57162,0
Brazil,2020-01-01,0,0,0
Brazil,2020-02-01,5,0,0
Brazil,2020-03-01,37127,976,290
Brazil,2020-04-01,1048506,66571,400893
Brazil,2020-05-01,7944285,509030,3206734
Brazil,2020-06-01,28161222,1353392,14780735
Brazil,2020-07-01,62641865,2370476,43861433
Brazil,2020-08-01,102903896,3345405,82386569
Brazil,2020-09-01,132059962,4004352,114602710
Brazil,2020-10-01,160991539,4732789,141354942
Brazil,2020-11-01,176837421,4986319,159574214
Brazil,2020-12-01,218249737,5702548,193984367
Brazil,2021-01-01,261187142,6483686,231929489
Brazil,2021-02-01,276456100,6713342,246496738
Brazil,2021-03-01,361059664,8826515,318572764
Brazil,2021-04-01,412565115,10952414,363175044
Brazil,2021-05-01,484537597,13501491,428343319
Brazil,2021-06-01,528296962,14768510,465709254
Brazil,2021-07-01,597970620,16718239,532885980
Brazil,2021-08-01,631977559,17655225,71084912
Brazil,2021-09-01,633288693,17665982,0
Brazil,2021-10-01,518247235,14439195,0
Brunei,2020-01-01,0,0,0
Brunei,2020-02-01,0,0,0
Brunei,2020-03-01,1688,4,169
Brunei,2020-04-01,4089,30,3069
Brunei,2020-05-01,4354,36,4158
Brunei,2020-06-01,4230,75,4140
Brunei,2020-07-01,4371,93,4278
Brunei,2020-08-01,4416,93,4293
Brunei,2020-09-01,4355,90,4210
Brunei,2020-10-01,4554,93,4428
Brunei,2020-11-01,4455,90,4337
Brunei,2020-12-01,4715,93,4578
Brunei,2021-01-01,5379,93,5014
Brunei,2021-02-01,5133,84,4921
Brunei,2021-03-01,6155,93,5756
Brunei,2021-04-01,6588,90,6173
Brunei,2021-05-01,7230,93,6870
Brunei,2021-06-01,7522,90,7165
Brunei,2021-07-01,9043,93,8072
Brunei,2021-08-01,35286,122,1120
Brunei,2021-09-01,142404,726,0
Brunei,2021-10-01,230861,1581,0
Bulgaria,2020-01-01,0,0,0
Bulgaria,2020-02-01,0,0,0
Bulgaria,2020-03-01,3576,71,92
Bulgaria,2020-04-01,25790,1111,3572
Bulgaria,2020-05-01,65828,3285,19087
Bulgaria,2020-06-01,105731,5500,56205
Bulgaria,2020-07-01,254933,9167,127894
Bulgaria,2020-08-01,443823,15642,282890
Bulgaria,2020-09-01,552189,22024,394051
Bulgaria,2020-10-01,962977,30756,525515
Bulgaria,2020-11-01,3044632,72503,965073
Bulgaria,2020-12-01,5636378,187730,2744317
Bulgaria,2021-01-01,6550706,261407,4826252
Bulgaria,2021-02-01,6492052,270490,5528183
Bulgaria,2021-03-01,9012470,359929,7116546
Bulgaria,2021-04-01,11402304,448434,9038221
Bulgaria,2021-05-01,12813504,533689,11230191
Bulgaria,2021-06-01,12616355,537895,11715358
Bulgaria,2021-07-01,13114402,562938,12307921
Bulgaria,2021-08-01,13546653,571340,1594561
Bulgaria,2021-09-01,14345031,595258,0
Bulgaria,2021-10-01,12775934,527569,0
Burkina Faso,2020-01-01,0,0,0
Burkina Faso,2020-02-01,0,0,0
Burkina Faso,2020-03-01,1901,86,161
Burkina Faso,2020-04-01,15230,921,7840
Burkina Faso,2020-05-01,24013,1555,19258
Burkina Faso,2020-06-01,27120,1590,23827
Burkina Faso,2020-07-01,32311,1643,27517
Burkina Faso,2020-08-01,38874,1687,31233
Burkina Faso,2020-09-01,51159,1679,35199
Burkina Faso,2020-10-01,72258,1960,54133
Burkina Faso,2020-11-01,79775,2028,73482
Burkina Faso,2020-12-01,143616,2276,107617
Burkina Faso,2021-01-01,275921,3130,216951
Burkina Faso,2021-02-01,322977,3815,299024
Burkina Faso,2021-03-01,384211,4469,372301
Burkina Faso,2021-04-01,391736,4604,381450
Burkina Faso,2021-05-01,415078,5068,408660
Burkina Faso,2021-06-01,403851,5019,398421
Burkina Faso,2021-07-01,419321,5226,413409
Burkina Faso,2021-08-01,423917,5274,53524
Burkina Faso,2021-09-01,419774,5220,0
Burkina Faso,2021-10-01,349603,4803,0
Burma,2020-01-01,0,0,0
Burma,2020-02-01,0,0,0
Burma,2020-03-01,55,1,0
Burma,2020-04-01,2408,110,178
Burma,2020-05-01,5780,186,2799
Burma,2020-06-01,8018,180,5413
Burma,2020-07-01,10335,186,8264
Burma,2020-08-01,13862,186,10109
Burma,2020-09-01,150402,2523,39272
Burma,2020-10-01,1037537,24729,489009
Burma,2020-11-01,2128623,47792,1586575
Burma,2020-12-01,3427806,72559,2792578
Burma,2021-01-01,4135212,90908,3628228
Burma,2021-02-01,3962034,89126,3626440
Burma,2021-03-01,4407423,99277,4083110
Burma,2021-04-01,4278611,96191,3956387
Burma,2021-05-01,4436743,99600,4095744
Burma,2021-06-01,4429479,97649,4006408
Burma,2021-07-01,6891196,163264,5048639
Burma,2021-08-01,10985696,407116,877105
Burma,2021-09-01,13127175,502280,0
Burma,2021-10-01,11552321,436788,0
Burundi,2020-01-01,0,0,0
Burundi,2020-02-01,0,0,0
Burundi,2020-03-01,2,0,0
Burundi,2020-04-01,183,18,44
Burundi,2020-05-01,889,31,430
Burundi,2020-06-01,3219,30,2008
Burundi,2020-07-01,8597,31,6092
Burundi,2020-08-01,12907,31,10108
Burundi,2020-09-01,14171,30,12136
Burundi,2020-10-01,16650,31,15180
Burundi,2020-11-01,19096,30,16542
Burundi,2020-12-01,23099,44,20021
Burundi,2021-01-01,36863,62,23533
Burundi,2021-02-01,52468,80,21644
Burundi,2021-03-01,77229,126,23963
Burundi,2021-04-01,102093,180,23190
Burundi,2021-05-01,134800,186,23963
Burundi,2021-06-01,152959,230,23190
Burundi,2021-07-01,184393,252,23963
Burundi,2021-08-01,304068,1149,3092
Burundi,2021-09-01,433981,1140,0
Burundi,2021-10-01,461365,912,0
Cabo Verde,2020-01-01,0,0,0
